Id,Like Count,Comment Count,retweet Count,View count,countOfWords,countOfPositive,countOfNegative,Art,Health,Politics,Science,Sport,C_Text__mysteries,C_Text__replying,T_Text__replying,T_Text__manchester,C_Text__manchester,T_Text__believe,T_Text__mark
211,385,16,192,27000,28,1,2,0,1,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
212,178,15,67,11000,47,1,1,0,1,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
213,851,132,426,65000,14,0,0,0,1,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
214,77,40,26,2145,30,0,2,0,1,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
215,2733,98,895,141000,36,0,1,0,1,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
216,43,21,10,1488,29,2,1,0,1,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
217,86,5,18,1172,48,1,1,0,1,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
218,1145,61,672,61000,32,1,3,0,1,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
219,116,13,34,2326,11,0,0,0,1,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
220,371,20,159,12000,12,0,2,0,1,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
221,312,41,139,75000,19,0,0,0,1,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
222,532,143,352,15000,22,0,0,0,1,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
223,740,3,238,15000,41,1,0,0,1,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
224,2082,3,588,59000,50,0,1,0,1,0,0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
225,83000,4820,19000,8000000,16,1,0,0,1,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
226,82,16,35,7289,16,1,0,0,1,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
227,749,35,103,14000,38,1,2,0,1,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
228,2406,75,710,229000,38,1,2,0,1,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
229,1059,9,117,19000,55,0,0,0,1,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
230,54,2,18,10000,37,0,4,0,1,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
